FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2019-11-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,999,DTW,"Detroit, MI",JFK,"New York, NY",828,825.0,-3.0,17.0,842.0,1000.0,11.0,1024,1011.0,-13.0,0.0,,0.0,116.0,106.0,78.0,509.0,,,,,
2022-09-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2790,BDL,"Hartford, CT",BWI,"Baltimore, MD",725,720.0,-5.0,18.0,738.0,831.0,11.0,840,842.0,2.0,0.0,,0.0,75.0,82.0,53.0,283.0,,,,,
2019-01-20,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4439,DCA,"Washington, DC",EWR,"Newark, NJ",1610,1720.0,70.0,25.0,1745.0,1822.0,15.0,1740,1837.0,57.0,0.0,,0.0,90.0,77.0,37.0,199.0,0.0,0.0,52.0,0.0,5.0
2021-07-19,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,802,KOA,"Kona, HI",PDX,"Portland, OR",1540,1544.0,4.0,21.0,1605.0,2356.0,5.0,15,1.0,-14.0,0.0,,0.0,335.0,317.0,291.0,2607.0,,,,,
2021-09-02,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4332,EKO,"Elko, NV",SLC,"Salt Lake City, UT",635,631.0,-4.0,8.0,639.0,815.0,7.0,825,822.0,-3.0,0.0,,0.0,50.0,51.0,36.0,200.0,,,,,
2019-06-10,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5137,SLN,"Salina, KS",ORD,"Chicago, IL",1800,1746.0,-14.0,22.0,1808.0,1933.0,14.0,2004,1947.0,-17.0,0.0,,0.0,124.0,121.0,85.0,559.0,,,,,
2019-02-20,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3023,ORD,"Chicago, IL",TVC,"Traverse City, MI",1635,1735.0,60.0,19.0,1754.0,1932.0,4.0,1842,1936.0,54.0,0.0,,0.0,67.0,61.0,38.0,224.0,18.0,0.0,0.0,0.0,36.0
2019-09-25,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4240,SLC,"Salt Lake City, UT",GJT,"Grand Junction, CO",1347,1343.0,-4.0,13.0,1356.0,1433.0,4.0,1459,1437.0,-22.0,0.0,,0.0,72.0,54.0,37.0,216.0,,,,,
2023-04-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2144,BOS,"Boston, MA",DCA,"Washington, DC",1530,1523.0,-7.0,13.0,1536.0,1652.0,5.0,1711,1657.0,-14.0,0.0,,0.0,101.0,94.0,76.0,399.0,,,,,
2019-07-05,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6172,DTW,"Detroit, MI",IAH,"Houston, TX",1505,1459.0,-6.0,9.0,1508.0,1640.0,7.0,1713,1647.0,-26.0,0.0,,0.0,188.0,168.0,152.0,1075.0,,,,,
